InvoiceNo;Order
Invoice0;shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
Invoice1;burgers,meatballs,eggs
Invoice2;chutney
Invoice3;turkey,avocado
Invoice4;mineral water,milk,energy bar,whole wheat rice,green tea
Invoice5;low fat yogurt
Invoice6;whole wheat pasta,french fries
Invoice7;soup,light cream,shallot
Invoice8;frozen vegetables,spaghetti,green tea
Invoice9;french fries
Invoice10;eggs,pet food
Invoice11;cookies
Invoice12;turkey,burgers,mineral water,eggs,cooking oil
Invoice13;spaghetti,champagne,cookies
Invoice14;mineral water,salmon
Invoice15;mineral water
Invoice16;shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt
Invoice17;turkey,eggs
Invoice18;turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate
Invoice19;meatballs,milk,honey,french fries,protein bar
Invoice20;red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo
Invoice21;rice,sparkling water
Invoice22;spaghetti,mineral water,ham,body spray,pancakes,green tea
Invoice23;burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste
Invoice24;eggs
Invoice25;parmesan cheese,spaghetti,soup,avocado,milk,fresh bread
Invoice26;ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope
Invoice27;sparkling water
Invoice28;mineral water,eggs,chicken,chocolate,french fries
Invoice29;frozen vegetables,spaghetti,yams,mineral water
Invoice30;herb & pepper,tomato sauce,light cream,magazines
Invoice31;mineral water,chocolate,avocado,eggs
Invoice32;turkey,french fries,strawberries
Invoice33;frozen vegetables,strong cheese,chocolate
Invoice34;cookies
Invoice35;pickles,spaghetti,salmon,escalope
Invoice36;energy bar,french fries
Invoice37;red wine,ground beef,mineral water
Invoice38;mineral water,cake,cottage cheese
Invoice39;pickles,champagne,green tea
Invoice40;spaghetti
Invoice41;fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope
Invoice42;spaghetti
Invoice43;soup,meatballs,hot dogs,sparkling water
Invoice44;escalope
Invoice45;soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea
Invoice46;mineral water,chicken,cereals,clothes accessories
Invoice47;mineral water,bug spray
Invoice48;avocado,muffins
Invoice49;burgers,black tea,green tea
Invoice50;spaghetti,chocolate,brownies,white wine,green tea
Invoice51;fresh tuna,mineral water,eggs
Invoice52;spaghetti,muffins
Invoice53;spaghetti,chocolate
Invoice54;french fries,escalope,champagne
Invoice55;tomato sauce,light mayo
Invoice56;turkey,fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate,soup,milk,olive oil
Invoice57;eggs,cookies
Invoice58;soup,chicken,gums,soda,body spray,energy drink,green tea
Invoice59;turkey,frozen vegetables,mineral water,cider,cooking oil,green tea
Invoice60;spaghetti
Invoice61;clothes accessories
Invoice62;energy drink
Invoice63;soup,bug spray,shallot,protein bar,green tea
Invoice64;turkey,eggs
Invoice65;french fries
Invoice66;chocolate,milk
Invoice67;herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice
Invoice68;cookies
Invoice69;shrimp,pasta
Invoice70;grated cheese,herb & pepper,tomatoes,tomato sauce,corn
Invoice71;burgers,escalope,shallot
Invoice72;cookies
Invoice73;yogurt cake
Invoice74;soup,eggs
Invoice75;cookies
Invoice76;mineral water,chocolate,low fat yogurt
Invoice77;eggs,strawberries
Invoice78;grated cheese,ground beef,spaghetti,mineral water,white wine
Invoice79;mint
Invoice80;eggs,cake,french fries
Invoice81;burgers,spaghetti,milk,french fries,green tea
Invoice82;mineral water,energy bar,butter,french fries
Invoice83;burgers,grated cheese,herb & pepper,mineral water,eggs,cooking oil
Invoice84;energy bar
Invoice85;energy bar,energy drink
Invoice86;chocolate,frozen smoothie
Invoice87;low fat yogurt
Invoice88;asparagus,salad
Invoice89;burgers,french fries,low fat yogurt,green tea
Invoice90;low fat yogurt
Invoice91;burgers,herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs,olive oil,energy bar,french wine,eggs,salt
Invoice92;champagne,low fat yogurt
Invoice93;champagne
Invoice94;burgers,almonds,eggs,french fries,cookies,green tea
Invoice95;ham,soup,escalope,body spray
Invoice96;turkey,ham,frozen vegetables,pepper,oil,extra dark chocolate,tea,magazines
Invoice97;muffins,eggs,cookies
Invoice98;cookies
Invoice99;frozen vegetables,whole wheat pasta,ground beef,spaghetti,chocolate,green tea
Invoice100;mineral water,barbecue sauce,chocolate
Invoice101;burgers,herb & pepper,energy bar,almonds,eggs,corn,mayonnaise,zucchini
Invoice102;turkey,burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese
Invoice103;ham,spaghetti,chocolate,eggs
Invoice104;ground beef,energy bar,pet food,carrots,protein bar
Invoice105;ground beef,tomato sauce,spaghetti,mineral water,almonds,eggs
Invoice106;mineral water,olive oil,gums,cooking oil
Invoice107;shrimp,pasta,mineral water,soup,avocado,milk,olive oil,green grapes,eggs,bug spray
Invoice108;shrimp,pasta,soup,cake,cooking oil,chicken,light mayo,low fat yogurt
Invoice109;spaghetti,mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce,fresh bread
Invoice110;shrimp,pasta,mineral water,eggs
Invoice111;burgers,oil,tomato juice,fresh bread
Invoice112;french wine,eggs,chocolate,low fat yogurt
Invoice113;chicken,eggs,french fries,pancakes
Invoice114;turkey,herb & pepper,salmon,white wine,candy bars
Invoice115;grated cheese,spaghetti,olive oil,eggs,french fries,green tea
Invoice116;mineral water,energy bar
Invoice117;eggs,french fries
Invoice118;burgers,tomatoes,mineral water,soup,milk,almonds,eggs,chocolate,tomato juice
Invoice119;muffins
Invoice120;pasta
Invoice121;tomatoes,spaghetti,frozen smoothie
Invoice122;ground beef,spaghetti,milk
Invoice123;french fries
Invoice124;chocolate,milk
Invoice125;burgers,shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk,eggs,chocolate,french fries,pancakes,low fat yogurt
Invoice126;ground beef,mineral water,antioxydant juice,protein bar
Invoice127;grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink
Invoice128;grated cheese
Invoice129;pancakes
Invoice130;frozen smoothie
Invoice131;carrots,green tea
Invoice132;chocolate
Invoice133;turkey,burgers,chocolate,olive oil,eggs,cooking oil,corn
Invoice134;frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread
Invoice135;cookies
Invoice136;ground beef
Invoice137;turkey,eggs,chocolate,frozen smoothie,tomato juice
Invoice138;frozen vegetables,cooking oil,mashed potato
Invoice139;frozen vegetables,ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream,tomato juice
Invoice140;red wine,spaghetti,mineral water,soup,milk,eggs,cake,gums,cooking oil,chocolate,frozen smoothie
Invoice141;chocolate,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,eggs,rice,french fries,brownies
Invoice142;chocolate,shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk,eggs
Invoice143;turkey,shrimp,pasta,pepper,spaghetti,mineral water,eggs,chicken,french fries
Invoice144;cookies
Invoice145;turkey,tomatoes,cake
Invoice146;yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne
Invoice147;rice
Invoice148;chocolate,milk
Invoice149;shrimp,pasta,frozen vegetables,water spray
Invoice150;burgers,mineral water,milk,eggs,whole wheat rice,mint
Invoice151;mineral water,vegetables mix,cake,frozen smoothie,brownies
Invoice152;cookies
Invoice153;shrimp,pasta,chicken,chocolate bread
Invoice154;shallot
Invoice155;shrimp,pasta,spaghetti,eggs,hot dogs,green tea
Invoice156;burgers
Invoice157;red wine,ground beef,spaghetti,mineral water,milk,olive oil,strong cheese,light cream,cooking oil
Invoice158;burgers,grated cheese,spaghetti,avocado,milk,oil,french fries
Invoice159;herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil
Invoice160;shrimp,pasta,yams,milk,chocolate
Invoice161;butter,green tea
Invoice162;light mayo
Invoice163;low fat yogurt
Invoice164;herb & pepper,shrimp,pasta,spaghetti,milk
Invoice165;burgers,eggs
